"compareStrain","vaccineStrain","Gene","vaccine_code","Nmedian","Smedian"
"CY088363_A_England_558_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",19,23
"CY088139_A_Scotland_79_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,20
"CY088035_A_England_438_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,20
"EPI358781_A_Fujian_411_2002","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,19
"CY002351_A_New_York_272_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,25
"CY001300_A_New_York_37_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,26
"CY000040_A_New_York_33_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,27
"CY000908_A_New_York_13_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",14,26
"CY000104_A_New_York_54_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",14,24
"CY000056_A_New_York_35_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,21
"CY000768_A_New_York_10_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",18,20
"CY009267_A_New_York_499_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",14,21
"CY001036_A_New_York_6_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",14,20
"CY090956_A_South_Carolina_NHRC0002_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,22
"CY001196_A_New_York_18_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,21
"CY092216_A_Georgia_NHRC0001_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,21
"CY001095_A_New_York_24_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,20
"CY000272_A_New_York_53_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,20
"CY000352_A_New_York_15_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,19
"CY091124_A_Missouri_NHRC0002_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",18,19
"CY091468_A_California_NHRC0006_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,22
"KJ855448_A_Mexico_DIF2662_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,19
"CY000144_A_New_York_26_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,19
"CY038574_A_Hong_Kong_HKU2_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,21
"CY088323_A_England_508_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,19
"CY107167_A_England_532_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,24
"CY088379_A_England_532_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,24
"CY088339_A_England_957_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,23
"CY088027_A_England_425_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,24
"CY088275_A_England_487_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,25
"CY088291_A_England_491_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,23
"CY088187_A_England_944_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,23
"CY088387_A_England_522_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,22
"CY107095_A_England_470_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,22
"CY000024_A_New_York_30_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,22
"CY000512_A_New_York_4_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,22
"CY088251_A_England_525_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,22
"CY088115_A_England_467_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",18,21
"CY107151_A_England_493_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",17,21
"CY039166_A_Hong_Kong_HKU5_2004","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,25
"CY088131_A_Scotland_78_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",15,24
"CY088267_A_England_585_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",16,25
"CY032968_A_Yucatan_844_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",12,21
"CY114340_A_Netherlands_126_2001","EPI103320_A_Moscow_10_1999","HA","1.Mos99",4,4
"CY000216_A_New_York_91_2002","EPI103320_A_Moscow_10_1999","HA","1.Mos99",5,11
"CY013812_A_New_York_C4_2002","EPI103320_A_Moscow_10_1999","HA","1.Mos99",6,10
"CY000552_A_New_York_115_2002","EPI103320_A_Moscow_10_1999","HA","1.Mos99",6,10
"CY002335_A_New_York_77_2001","EPI103320_A_Moscow_10_1999","HA","1.Mos99",5,12
"CY001559_A_New_York_215_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",8,11
"CY112948_A_Netherlands_1_2002","EPI103320_A_Moscow_10_1999","HA","1.Mos99",6,9
"CY000872_A_New_York_193_2003","EPI103320_A_Moscow_10_1999","HA","1.Mos99",11,15
"CY003287_A_New_York_438_2000","EPI103320_A_Moscow_10_1999","HA","1.Mos99",3,2
"CY114324_A_Netherlands_3_2000","EPI103320_A_Moscow_10_1999","HA","1.Mos99",4,3
"EPI103320_A_Moscow_10_1999","EPI103320_A_Moscow_10_1999","HA","1.Mos99",0,0
"CY006386_A_New_York_467_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,10
"CY038638_A_Hong_Kong_HKU29_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,12
"CY038646_A_Hong_Kong_HKU31_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,11
"CY038654_A_Hong_Kong_HKU34_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,10
"CY039030_A_Hong_Kong_HKU25_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,11
"CY039038_A_Hong_Kong_HKU30_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,13
"CY039174_A_Hong_Kong_HKU24_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,10
"CY039502_A_Hong_Kong_HKU32_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY040321_A_Hong_Kong_HKU38_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,9
"CY043751_A_Hong_Kong_HKU28_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"EPI367109_A_California_7_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,9
"CY038622_A_Hong_Kong_HKU20_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,9
"CY039014_A_Hong_Kong_HKU21_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY038614_A_Hong_Kong_HKU19_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,11
"CY038950_A_Hong_Kong_HKU4_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,10
"CY032968_A_Yucatan_844_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,10
"KJ855376_A_Mexico_DIF835_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,11
"EPI358781_A_Fujian_411_2002","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,9
"CY088363_A_England_558_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,10
"CY039494_A_Hong_Kong_HKU1_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,10
"CY038998_A_Hong_Kong_HKU15_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,10
"CY038990_A_Hong_Kong_HKU14_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,10
"CY038958_A_Hong_Kong_HKU6_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,11
"EPI103320_A_Moscow_10_1999","EPI103320_A_Moscow_10_1999","M","1.Mos99",0,0
"CY088027_A_England_425_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088187_A_England_944_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088379_A_England_532_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088275_A_England_487_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY107167_A_England_532_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088291_A_England_491_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088339_A_England_957_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088387_A_England_522_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,12
"CY000024_A_New_York_30_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY107095_A_England_470_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY000512_A_New_York_4_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY088115_A_England_467_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,12
"CY107151_A_England_493_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,12
"CY088251_A_England_525_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,12
"CY001095_A_New_York_24_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,14
"CY000272_A_New_York_53_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,14
"CY000352_A_New_York_15_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,14
"CY091468_A_California_NHRC0006_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,14
"KJ855448_A_Mexico_DIF2662_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,13
"CY091124_A_Missouri_NHRC0002_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,14
"CY038574_A_Hong_Kong_HKU2_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,13
"CY088323_A_England_508_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,12
"CY000144_A_New_York_26_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY000768_A_New_York_10_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",5,13
"CY009267_A_New_York_499_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,14
"CY001036_A_New_York_6_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,13
"CY000040_A_New_York_33_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY000104_A_New_York_54_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY000908_A_New_York_13_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY088267_A_England_585_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,12
"CY092216_A_Georgia_NHRC0001_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY039166_A_Hong_Kong_HKU5_2004","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,12
"CY001300_A_New_York_37_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY002351_A_New_York_272_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,12
"CY000056_A_New_York_35_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,12
"CY090956_A_South_Carolina_NHRC0002_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY001196_A_New_York_18_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,11
"CY001559_A_New_York_215_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,10
"CY002335_A_New_York_77_2001","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,9
"CY000216_A_New_York_91_2002","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,10
"CY013812_A_New_York_C4_2002","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,9
"CY000552_A_New_York_115_2002","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,10
"CY088035_A_England_438_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,12
"CY088403_A_England_547_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,12
"CY107111_A_England_516_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,14
"CY088139_A_Scotland_79_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,13
"CY000872_A_New_York_193_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,11
"CY088131_A_Scotland_78_2003","EPI103320_A_Moscow_10_1999","M","1.Mos99",4,10
"CY112948_A_Netherlands_1_2002","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,9
"CY114324_A_Netherlands_3_2000","EPI103320_A_Moscow_10_1999","M","1.Mos99",1,8
"CY003287_A_New_York_438_2000","EPI103320_A_Moscow_10_1999","M","1.Mos99",2,8
"CY114340_A_Netherlands_126_2001","EPI103320_A_Moscow_10_1999","M","1.Mos99",3,9
"CY006386_A_New_York_467_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",13,13
"CY038638_A_Hong_Kong_HKU29_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,14
"CY038646_A_Hong_Kong_HKU31_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,15
"CY038654_A_Hong_Kong_HKU34_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,14
"CY039030_A_Hong_Kong_HKU25_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,14
"CY039038_A_Hong_Kong_HKU30_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,14
"CY039174_A_Hong_Kong_HKU24_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",11,17
"CY039502_A_Hong_Kong_HKU32_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",13,15
"CY040321_A_Hong_Kong_HKU38_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,14
"CY043751_A_Hong_Kong_HKU28_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,13
"EPI367109_A_California_7_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,16
"CY000024_A_New_York_30_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,23
"CY000040_A_New_York_33_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,23
"CY000056_A_New_York_35_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,22
"CY000104_A_New_York_54_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,26
"CY000144_A_New_York_26_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,20
"CY000216_A_New_York_91_2002","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY000272_A_New_York_53_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,20
"CY000352_A_New_York_15_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,19
"CY000512_A_New_York_4_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,22
"CY000552_A_New_York_115_2002","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,21
"CY000768_A_New_York_10_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,22
"CY000872_A_New_York_193_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,17
"CY000908_A_New_York_13_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY001036_A_New_York_6_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,22
"CY001095_A_New_York_24_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,20
"CY001196_A_New_York_18_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,26
"CY001300_A_New_York_37_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY001559_A_New_York_215_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,23
"CY002335_A_New_York_77_2001","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY002351_A_New_York_272_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY003287_A_New_York_438_2000","EPI103320_A_Moscow_10_1999","NA","1.Mos99",0,1
"CY009267_A_New_York_499_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY013812_A_New_York_C4_2002","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,22
"CY032968_A_Yucatan_844_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,10
"CY038574_A_Hong_Kong_HKU2_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",11,20
"CY038614_A_Hong_Kong_HKU19_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",11,14
"CY038622_A_Hong_Kong_HKU20_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,13
"CY038950_A_Hong_Kong_HKU4_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,14
"CY038958_A_Hong_Kong_HKU6_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",11,12
"CY038990_A_Hong_Kong_HKU14_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,12
"CY038998_A_Hong_Kong_HKU15_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",12,13
"CY039014_A_Hong_Kong_HKU21_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",13,15
"CY039166_A_Hong_Kong_HKU5_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,22
"CY039494_A_Hong_Kong_HKU1_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",11,14
"CY088027_A_England_425_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,26
"CY088035_A_England_438_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,22
"CY088115_A_England_467_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,23
"CY088131_A_Scotland_78_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,24
"CY088139_A_Scotland_79_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,23
"CY088187_A_England_944_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,26
"CY088251_A_England_525_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,28
"CY088267_A_England_585_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY088275_A_England_487_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,23
"CY088291_A_England_491_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY088323_A_England_508_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,22
"CY088339_A_England_957_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,24
"CY088363_A_England_558_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,23
"CY088379_A_England_532_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,23
"CY088387_A_England_522_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,26
"CY088403_A_England_547_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,23
"CY090956_A_South_Carolina_NHRC0002_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,24
"CY091124_A_Missouri_NHRC0002_2004","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,20
"CY091468_A_California_NHRC0006_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,19
"CY092216_A_Georgia_NHRC0001_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,23
"CY107095_A_England_470_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,24
"CY107111_A_England_516_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,26
"CY107151_A_England_493_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY107167_A_England_532_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",9,22
"CY112948_A_Netherlands_1_2002","EPI103320_A_Moscow_10_1999","NA","1.Mos99",6,17
"CY114324_A_Netherlands_3_2000","EPI103320_A_Moscow_10_1999","NA","1.Mos99",0,1
"CY114340_A_Netherlands_126_2001","EPI103320_A_Moscow_10_1999","NA","1.Mos99",6,3
"EPI103320_A_Moscow_10_1999","EPI103320_A_Moscow_10_1999","NA","1.Mos99",0,0
"EPI358781_A_Fujian_411_2002","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,8
"KJ855376_A_Mexico_DIF835_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",8,12
"KJ855448_A_Mexico_DIF2662_2003","EPI103320_A_Moscow_10_1999","NA","1.Mos99",10,19
"CY006386_A_New_York_467_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,14
"EPI367109_A_California_7_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",7,17
"CY039174_A_Hong_Kong_HKU24_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,14
"CY038654_A_Hong_Kong_HKU34_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",3,17
"CY039502_A_Hong_Kong_HKU32_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,17
"CY039030_A_Hong_Kong_HKU25_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",3,17
"CY038646_A_Hong_Kong_HKU31_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",3,17
"CY040321_A_Hong_Kong_HKU38_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",3,17
"CY039038_A_Hong_Kong_HKU30_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,15
"CY038638_A_Hong_Kong_HKU29_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,17
"CY043751_A_Hong_Kong_HKU28_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,17
"CY038998_A_Hong_Kong_HKU15_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,12
"CY038958_A_Hong_Kong_HKU6_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,14
"CY038990_A_Hong_Kong_HKU14_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,17
"CY039494_A_Hong_Kong_HKU1_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,11
"CY088363_A_England_558_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",4,12
"CY038622_A_Hong_Kong_HKU20_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",3,16
"CY038614_A_Hong_Kong_HKU19_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,16
"CY039014_A_Hong_Kong_HKU21_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,17
"CY038950_A_Hong_Kong_HKU4_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",3,13
"EPI358781_A_Fujian_411_2002","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,7
"KJ855376_A_Mexico_DIF835_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,9
"CY032968_A_Yucatan_844_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,12
"EPI103320_A_Moscow_10_1999","EPI103320_A_Moscow_10_1999","NP","1.Mos99",0,0
"CY114324_A_Netherlands_3_2000","EPI103320_A_Moscow_10_1999","NP","1.Mos99",1,0
"CY003287_A_New_York_438_2000","EPI103320_A_Moscow_10_1999","NP","1.Mos99",2,4
"CY002351_A_New_York_272_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,25
"CY000040_A_New_York_33_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,28
"CY001300_A_New_York_37_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,25
"CY000908_A_New_York_13_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,25
"CY000104_A_New_York_54_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,25
"CY090956_A_South_Carolina_NHRC0002_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,25
"CY001196_A_New_York_18_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,26
"CY092216_A_Georgia_NHRC0001_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,26
"CY000056_A_New_York_35_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,24
"CY009267_A_New_York_499_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,25
"CY001036_A_New_York_6_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,24
"CY000768_A_New_York_10_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,25
"CY039166_A_Hong_Kong_HKU5_2004","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,25
"CY088131_A_Scotland_78_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,25
"CY088267_A_England_585_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,25
"CY088339_A_England_957_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,28
"CY088187_A_England_944_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,27
"CY088291_A_England_491_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,26
"CY088275_A_England_487_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",5,26
"CY088027_A_England_425_2003","EPI103320_A_Moscow_10_1999","NP","1.Mos99",6,26
