name,name_fasta,HA_segID,Subtype,original_clade,Clade_group,Domestic_Status,zoonotic_case,date,set,RBS_23full,RBS_26full,ENZ_23SLN,ENZ_26SLN,SBS_23SLN,SBS_26SLN,stalk,stalk_scale,zoonotic_scale,X88,X98,X110,X156,X284,X298,mean_rmsdRBS23,PB2_627,PB2_631,PA_497,HA_147,PB2_627_bin,PB2_631_cat,PA_497_bin,HA_147_bin,Zoo_bin,Bal23,Bal26,stalk_bin,stalk_cat,Host_cat,Bal23_cat5,Bal26_cat5,mLTDC
H5N1|A/Arctic_tern/Iceland/2023AI04250/2022|EPI2635205|2022-07-03,H5N1|A/Arctic_tern/Iceland/2023AI04250/2022|EPI2635205|2022-07-03,EPI2635205,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.7.3,avian,-40.22000834,-40.06888984,-34.19555,-23.85128,-21.09133,-23.63532,long,0.5,-0.5,2.412912343,1.158433975,1.083010317,1.546440509,1.114676791,1.29890944,4.499685259,E,M,K,V,0,0,0,0,0,0.588088338,0.839973575,1,2,1,1,1,2
H5N1|A/arctic-fox/Finland/504_23VIR6803-7/2023|EPI2641479|2023-07-10,H5N1|A/arctic-fox/Finland/504_23VIR6803-7/2023|EPI2641479|2023-07-10,EPI2641479,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2023.7.10,avian,-40.10750896,-40.14142664,-34.25096,-23.74326,-37.29391,-36.42858,long,0.5,0.5,1.855530105,1.194975495,0.861536013,1.505055955,1.123600688,1.314237513,4.304123506,E,M,K,V,0,0,0,0,1,0.585494669,0.84532256,1,2,2,1,1,2
H5N1|A/Ardea_cinerea/Belgium/11304_0003/2022|EPI2208903|2022-09-23,H5N1|A/Ardea_cinerea/Belgium/11304_0003/2022|EPI2208903|2022-09-23,EPI2208903,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.9.23,avian,-40.34863802,-40.34232314,-34.21176,-23.81726,-42.37836,-40.738,long,0.5,-0.5,2.281456048,1.233532356,1.981291997,1.881321976,1.459456147,1.437033409,4.995211155,E,M,K,V,0,0,0,0,0,0.589689598,0.846913607,1,2,1,1,1,2
H5N1|A/Avian/Nebraska/003247-001/2025|EPI4099097|2025-01-27,H5N1|A/Avian/Nebraska/003247-001/2025|EPI4099097|2025-01-27,EPI4099097,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2025.1.27,bovine,-38.75069828,-39.74045171,-34.30400616,-23.46288155,-39.60219402,-50.48476233,long,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,0,0.564813015,0.846879179,1,2,1,0,1,2
H5N1|A/backyard_chicken/Uruguay/UDELAR-144-M3/2023|EPI2758928|2023-05-03,H5N1|A/backyard_chicken/Uruguay/UDELAR-144-M3/2023|EPI2758928|2023-05-03,EPI2758928,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Domestic,non-zoonotic,2023.5.3,avian,-39.82544377,-39.99255133,-34.12905,-23.69364,-42.16872,-40.49788,long,0.5,-0.5,2.467620417,1.260398781,1.021303036,1.764204072,1.167062878,1.253404011,4.707840637,E,M,K,V,0,0,0,0,0,0.583453741,0.84395119,1,2,0,1,1,1
H5N1|A/Bald_Eagle/BC/AIVPHL-1455/2023|EPI3484891|2023-11-04,H5N1|A/Bald_Eagle/BC/AIVPHL-1455/2023|EPI3484891|2023-11-04,EPI3484891,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.11.4,avian,-40.08613717,-40.09774803,-34.37285,-23.99721,-37.19624,-34.80058,long,0.5,-0.5,2.415046185,1.179582635,1.288142272,1.816499398,1.207405655,1.515916526,3.632956175,E,M,K,V,0,0,0,0,0,0.583107557,0.835466874,1,2,1,1,0,2
H5N1|A/bald_eagle/North_Carolina/W23-142B/2023|OQ732988|2023-02-19,H5N1|A/bald_eagle/North_Carolina/W23-142B/2023|OQ732988|2023-02-19,OQ732988,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.2.19,avian,-36.58832692,-40.49150565,-30.4032,-27.85935,-40.28445,-41.78401,long,0.5,-0.5,2.364177761,1.23940669,1.22578451,2.112332418,1.209892209,1.473938682,6.625286853,E,M,K,V,0,0,0,0,0,0.601718354,0.726713036,1,2,1,2,0,1
H5N1|A/bald_eagle/Pennsylvania/23-015074-001/2023|EPI2614534|2023-03-13,H5N1|A/bald_eagle/Pennsylvania/23-015074-001/2023|EPI2614534|2023-03-13,EPI2614534,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.3.13,avian,-40.15393763,-40.10409672,-34.14225,-23.66961,-42.1588,-40.4913,long,0.5,-0.5,2.841284188,1.653580579,1.217945982,1.881151543,1.015003521,1.167053933,3.150266932,E,M,K,V,0,0,0,0,0,0.588038832,0.84716429,1,2,1,1,1,3
H5N1|A/bald_eagle/Virginia/W22-1222/2022|OQ734972|2022-12-08,H5N1|A/bald_eagle/Virginia/W22-1222/2022|OQ734972|2022-12-08,OQ734972,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.12.8,avian,-36.22807938,-40.21878353,-34.14225,-23.66961,-42.1588,-40.4913,long,0.5,-0.5,1.884130938,1.290906057,1.396646913,1.814856108,1.232402476,1.311378547,4.329394422,E,M,K,V,0,0,0,0,0,0.530546162,0.84958695,1,2,1,0,1,1
H5N1|A/Bar-headed_goose/Tibet/3/2015|EPI1639815|2015-05-28,H5N1|A/Bar-headed_goose/Tibet/3/2015|EPI1639815|2015-05-28,EPI1639815,H5N1,2.3.2.1f,2.3.2.1,Wild,non-zoonotic,2015.5.28,avian,-38.0237192,-43.39412335,-31.75944,-22.68438,-22.84997,-20.13574,short,-0.5,-0.5,1.543656596,1.923700018,1.445447795,2.345701196,1.623893468,1.527930998,6.749418327,E,M,K,V,0,0,0,0,0,1.197241488,1.912951703,0,0,1,3,3,0
H5N1|A/barnacle_goose/Sweden/SVA210511SZ0567/FB001840/M-2021|EPI1882784|2021-05-11,H5N1|A/barnacle_goose/Sweden/SVA210511SZ0567/FB001840/M-2021|EPI1882784|2021-05-11,EPI1882784,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2021.5.11,avian,-40.22000834,-40.06888984,-34.07364,-23.72211,-42.17619,-40.49904,long,0.5,-0.5,2.412912343,1.158433975,1.083010317,1.546440509,1.114676791,1.29890944,4.499685259,E,M,K,V,0,0,0,0,0,0.590192424,0.844547341,1,2,1,1,1,1
H5N1|A/Black_Headed_Gull/England/419880/2025|EPI4412967|2025-02-11,H5N1|A/Black_Headed_Gull/England/419880/2025|EPI4412967|2025-02-11,EPI4412967,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2025.2.11,bovine,-39.99491515,-39.9347438,-34.34933128,-23.72356424,-39.51729931,-50.42711589,long,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,0,0.582178949,0.841668296,1,2,1,1,1,4
H5N1|A/black-headed_gull/Denmark/06169-1_01/2023-07-30|EPI2745876|2023-07-30,H5N1|A/black-headed_gull/Denmark/06169-1_01/2023-07-30|EPI2745876|2023-07-30,EPI2745876,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.7.30,avian,-40.37121513,-40.33219056,-34.72414,-24.71212,-37.37977,-36.43015,long,0.5,-0.5,2.075394247,1.187622097,1.156491839,1.594193218,1.029773016,1.202914502,5.168888446,E,V,K,V,0,1,0,0,0,0.581313391,0.816040683,1,2,1,0,0,2
H5N1|A/black-headed_gull/Finland/8107_23VIR7026-7/2023|EPI2760366|2023-07-20,H5N1|A/black-headed_gull/Finland/8107_23VIR7026-7/2023|EPI2760366|2023-07-20,EPI2760366,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.7.20,avian,-40.22000834,-40.06888984,-34.27164,-23.90296,-42.60831,-40.93359,long,0.5,-0.5,2.412912343,1.158433975,1.083010317,1.546440509,1.114676791,1.29890944,4.499685259,E,M,K,V,0,0,0,0,0,0.586782663,0.838157488,1,2,1,1,0,4
H5N1|A/Black-headed_gull/Netherlands/36/2023|EPI2530103|2023-04-07,H5N1|A/Black-headed_gull/Netherlands/36/2023|EPI2530103|2023-04-07,EPI2530103,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.4.7,avian,-40.19144219,-40.19956606,-34.25342,-23.75452,-37.35661,-36.41316,long,0.5,-0.5,1.565256111,2.286087395,1.266339831,2.25480785,1.627531955,1.871838704,6.861537849,E,M,K,V,0,0,0,0,0,0.5866778,0.846145619,1,2,1,1,1,4
H5N1|A/blue-winged_teal/Texas/UGAI22-2966/2022|OQ732972|2022-09-,H5N1|A/blue-winged_teal/Texas/UGAI22-2966/2022|OQ732972|2022-09-,OQ732972,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.9.1,avian,-40.15393763,-40.10409672,-30.4032,-27.85935,-40.28445,-41.78401,long,0.5,-0.5,2.841284188,1.653580579,1.217945982,1.881151543,1.015003521,1.167053933,3.150266932,E,M,K,V,0,0,0,0,0,0.660357094,0.719760093,1,2,1,2,0,3
H5N1|A/Branta_canadensis/Belgium/4821_0001/2022|EPI2122972|2022-04-07,H5N1|A/Branta_canadensis/Belgium/4821_0001/2022|EPI2122972|2022-04-07,EPI2122972,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.4.7,avian,-40.22000834,-40.06888984,-34.42362,-24.08731,-42.75395,-41.07445,long,0.5,-0.5,2.412912343,1.158433975,1.083010317,1.546440509,1.114676791,1.29890944,4.499685259,E,M,K,V,0,0,0,0,0,0.584192022,0.831742728,1,2,1,1,0,2
H5N1|A/brown_pelican/Florida/23-004148-001/2023|EPI2613542|2023-02-01,H5N1|A/brown_pelican/Florida/23-004148-001/2023|EPI2613542|2023-02-01,EPI2613542,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2023.2.1,avian,-40.15393763,-40.10409672,-30.4032,-27.85935,-40.28445,-41.78401,long,0.5,-0.5,2.841284188,1.653580579,1.217945982,1.881151543,1.015003521,1.167053933,3.150266932,E,M,K,V,0,0,0,0,0,0.660357094,0.719760093,1,2,1,2,0,1
H5N1|A/Cackling_Goose/BC/AIVPHL-2533/2024|EPI3631422|2024-10-13,H5N1|A/Cackling_Goose/BC/AIVPHL-2533/2024|EPI3631422|2024-10-13,EPI3631422,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2024.10.13,bovine,-40.22000834,-40.06888984,-34.30935965,-23.59944223,-34.00453973,-44.82242499,long,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,0,0.586137555,0.848937222,1,2,1,1,1,2
H5N1|A/Cackling_Goose/BC/AIVPHL-2651/2024|EPI4022199|2024-11-08,H5N1|A/Cackling_Goose/BC/AIVPHL-2651/2024|EPI4022199|2024-11-08,EPI4022199,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2024.11.8,bovine,-40.41399131,-40.12708611,-34.30055342,-23.47379665,-39.60337463,-50.48626061,long,0.5,-0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,0,0.589115733,0.854720834,1,2,1,1,1,4
H5N1|A/California/152/2024|EPI3610171|2024-10-10,H5N1|A/California/152/2024|EPI3610171|2024-10-10,EPI3610171,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Human,zoonotic,2024.10.10,bovine,-40.37419927,-40.31001165,-34.08076766,-23.39004078,-39.1052458,-50.0173521,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,L,R,V,0,2,1,0,1,0.59233113,0.861691778,1,2,4,2,2,2
H5N1|A/California/153/2024|EPI3610163|2024-10-09,H5N1|A/California/153/2024|EPI3610163|2024-10-09,EPI3610163,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Human,zoonotic,2024.10.9,bovine,-40.37419927,-40.31001165,-34.08076766,-23.39004078,-39.1052458,-50.0173521,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,L,R,V,0,2,1,0,1,0.59233113,0.861691778,1,2,4,2,2,2
H5N1|A/California/195/2024|EPI3726669|2024-11-23,H5N1|A/California/195/2024|EPI3726669|2024-11-23,EPI3726669,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Human,zoonotic,2024.11.23,bovine,-40.31367028,-39.73237481,-34.08076766,-23.39004078,-39.1052458,-50.0173521,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,L,R,M,0,2,1,1,1,0.591443108,0.849343855,1,2,4,2,1,2
H5N1|A/Cambodia/2310209/2023|EPI2767582|2023-10-07,H5N1|A/Cambodia/2310209/2023|EPI2767582|2023-10-07,EPI2767582,H5N1,2.3.2.1e,2.3.2.1,Human,zoonotic,2023.10.7,avian,-37.6078268,-43.29362675,-30.81604847,-21.62653021,-36.10630897,-32.20973587,short,-0.5,0.5,1.67794396,1.427679588,1.27719483,2.040191587,1.918706927,1.682497627,5.704533865,K,M,K,V,1,0,0,0,1,1.220397444,2.001875767,0,0,4,3,4,0
H5N1|A/Cambodia/NPH230032/2023|EPI2419700|2023-02-21,H5N1|A/Cambodia/NPH230032/2023|EPI2419700|2023-02-21,EPI2419700,H5N1,2.3.2.1e,2.3.2.1,Human,zoonotic,2023.2.21,avian,-38.19640774,-42.96941384,-32.21626,-21.4473,-29.81799,-26.2903,short,-0.5,0.5,1.195502038,1.610199378,1.296431196,1.835004233,1.693689994,1.419616362,4.139067729,E,M,K,V,0,0,0,0,1,1.185625139,2.003488264,0,0,4,3,4,0
H5N1|A/Cambodia/V0219301/2011|EPI341367|2011-02-17,H5N1|A/Cambodia/V0219301/2011|EPI341367|2011-02-17,EPI341367,H5N1,2001.1.2,others,Human,zoonotic,2011.2.17,avian,-38.95578549,-44.21985213,-20.32613213,-28.33334344,-33.24738213,-33.02912638,short,-0.5,0.5,1.459606815,2.015714579,1.416551283,2.707591428,1.56519851,1.88286103,5.402095618,E,M,K,V,0,0,0,0,1,1.916537059,1.560700107,0,0,4,4,2,3
H5N1|A/Cambodia/W0329318/2012|EPI542914|2012-03-29,H5N1|A/Cambodia/W0329318/2012|EPI542914|2012-03-29,EPI542914,H5N1,2001.1.2,others,Human,zoonotic,2012.3.29,avian,-38.98073368,-44.18266,-31.00401,-22.27094,-37.41208,-32.14045,short,-0.5,0.5,1.274486188,2.44443699,1.30548483,2.29023353,1.722272659,1.865742809,4.666151394,E,M,K,V,0,0,0,0,1,1.257280387,1.983870461,0,0,4,4,4,0
H5N1|A/Cambodia/W0526301/2012|EPI542922|2012-05-25,H5N1|A/Cambodia/W0526301/2012|EPI542922|2012-05-25,EPI542922,H5N1,2001.1.2,others,Human,zoonotic,2012.5.25,avian,-38.83315355,-44.01384874,-30.9691,-22.28943,-37.40715,-32.13855,short,-0.5,0.5,1.376005318,2.019568171,1.34055343,2.133104234,1.92601773,1.772520453,4.466521912,E,M,K,V,0,0,0,0,1,1.25393226,1.974651157,0,0,4,4,4,3
H5N1|A/Cambodia/X0123312/2013|EPI542812|2013-01-23,H5N1|A/Cambodia/X0123312/2013|EPI542812|2013-01-23,EPI542812,H5N1,2001.1.2,others,Human,zoonotic,2013.1.23,avian,-36.05242793,-47.43597736,-31.11431,-22.39668,-37.51286,-32.17329,short,-0.5,0.5,1.442792619,1.87753784,1.420319084,2.274391529,1.809191959,1.788648361,4.437924303,E,L,K,V,0,2,0,0,1,1.158708901,2.117991477,0,0,4,2,4,2
H5N1|A/Cambodia/X0913301/2013|KF918506|2013-09-13,H5N1|A/Cambodia/X0913301/2013|KF918506|2013-09-13,KF918506,H5N1,2001.1.2,others,Human,zoonotic,2013.9.13,avian,-38.60139676,-43.91223037,-30.49073,-21.63745,-37.19894,-31.8998,short,-0.5,0.5,1.54954686,1.714060157,1.505103334,2.274202778,1.676656539,1.773927417,5.426346614,E,L,K,V,0,2,0,0,1,1.266004348,2.029454967,0,0,4,4,4,0
H5N1|A/Canada_Goose/AB/FAV-1258-7/2022|EPI3312578|2022-10-05,H5N1|A/Canada_Goose/AB/FAV-1258-7/2022|EPI3312578|2022-10-05,EPI3312578,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.10.5,avian,-40.21361338,-40.10442011,-34.12862,-23.69368,-42.18435,-40.50048,long,0.5,-0.5,3.621999221,1.543632562,1.163312347,2.382417579,1.732857632,1.926320066,6.711756972,E,M,K,V,0,0,0,0,0,0.589147955,0.846310495,1,2,1,1,1,4
H5N1|A/Canada_Goose/BC/FAV-1294-8/2022|EPI3311090|2022-09-12,H5N1|A/Canada_Goose/BC/FAV-1294-8/2022|EPI3311090|2022-09-12,EPI3311090,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2022.9.12,avian,-40.23935482,-40.15311735,-34.16863,-23.73739,-42.18143,-40.51458,long,0.5,-0.5,2.230044357,1.682958427,0.959960525,1.857635201,1.678196755,1.881142639,5.723135458,E,M,K,V,0,0,0,0,0,0.588834771,0.84577785,1,2,1,1,1,1
H5N1|A/canada_goose/Indiana/24_005146-001/2024|EPI3261483|2024-02-14,H5N1|A/canada_goose/Indiana/24_005146-001/2024|EPI3261483|2024-02-14,EPI3261483,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Wild,non-zoonotic,2024.2.14,avian,-40.19139575,-40.04989576,-34.11431,-23.68078,-42.16746,-40.48997,long,0.5,-0.5,2.043201274,1.208845587,1.260897661,1.606850043,1.414500204,1.519760332,4.505450199,E,M,K,V,0,0,0,0,0,0.589069451,0.845620283,1,2,1,1,1,3
H5N1|A/cat/California/037415-001/2024|EPI3755919|2024-12-09,H5N1|A/cat/California/037415-001/2024|EPI3755919|2024-12-09,EPI3755919,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2024.12.9,bovine,-40.3935133,-40.36532934,-34.08076766,-23.39004078,-39.1052458,-50.0173521,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,L,R,V,0,2,1,0,1,0.592614487,0.862874283,1,2,2,2,2,4
H5N1|A/cat/Germany/R606/06|DQ643982|2006-02-,H5N1|A/cat/Germany/R606/06|DQ643982|2006-02-,DQ643982,H5N1,2.2,2.2,Mammals,zoonotic,2006.2.1,avian,-36.54661697,-42.13042613,-31.23127,-22.10734,-37.23036,-32.01061,short,-0.5,0.5,1.492016328,1.990955861,1.407189361,2.455966516,2.021417001,1.324444643,4.844410359,K,M,K,V,1,0,0,0,1,1.17019311,1.905721183,0,0,2,2,3,2
H5N1|A/cat/Kansas/001092-001/2024|EPI3885513|2024-12-31,H5N1|A/cat/Kansas/001092-001/2024|EPI3885513|2024-12-31,EPI3885513,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2024.12.31,bovine,-39.86379533,-40.05588172,-34.31002165,-23.47760355,-39.61574641,-50.50124784,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,1,0.580935153,0.853065809,1,2,2,0,1,2
H5N1|A/cat/South_Dakota/038917-001/2024|EPI3846939|2024-12-26,H5N1|A/cat/South Dakota/038917-001/2024|EPI3846939|2024-12-26,EPI3846939,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2024.12.26,bovine,-39.86379533,-40.05588172,-34.30400616,-23.46288155,-39.60219402,-50.48476233,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,1,0.581037024,0.853601073,1,2,2,0,1,2
H5N1|A/cat/South_Dakota/2/2025|EPI4112765|2025-01-15,H5N1|A/cat/South Dakota/2/2025|EPI4112765|2025-01-15,EPI4112765,H5N1,2.3.4.4b,H5N1_2.3.4.4b,Mammals,zoonotic,2025.1.15,bovine,-40.10253003,-40.13255553,-34.30400616,-23.46288155,-39.60219402,-50.48476233,long,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,E,M,K,V,0,0,0,0,1,0.584516716,0.855235011,1,2,2,1,1,2
H5N1|A/CHICHEN/Hunan/161/2010|MW676355|2010-01-01,H5N1|A/CHICHEN/Hunan/161/2010|MW676355|2010-01-01,MW676355,H5N1,2.3.2.1,2.3.2.1,Domestic,non-zoonotic,2010.1.1,avian,-37.14501193,-42.38633134,-31.11505,-21.99898,-36.82329,-31.73521,short,-0.5,-0.5,1.497725599,1.523798158,1.609754548,2.081379166,1.660904119,1.821048005,4.932462151,E,M,K,V,0,0,0,0,0,1.193795669,1.926740755,0,0,0,3,4,0
H5N1|A/chicken/Anhui/1089/2007|EPI174642|2007-01-28,H5N1|A/chicken/Anhui/1089/2007|EPI174642|2007-01-28,EPI174642,H5N1,2002.3.4,2002.3.4,Domestic,non-zoonotic,2007.1.28,avian,-36.53462201,-41.48542364,-31.16367,-22.06918,-37.44759,-32.14233,short,-0.5,-0.5,1.47277422,1.968257273,1.40646609,2.018145645,2.045185724,1.480742896,3.539266932,E,M,K,V,0,0,0,0,0,1.172346582,1.879789989,0,0,0,2,3,3
H5N1|A/chicken/Anhui/QD1/2014|EPI1158808|2014-02-27,H5N1|A/chicken/Anhui/QD1/2014|EPI1158808|2014-02-27,EPI1158808,H5N1,2.3.4.4g,H5N1_2.3.4.4b,Domestic,non-zoonotic,2014.2.27,avian,-40.28670855,-40.48310426,-31.34676,-22.24105,-20.75215,-17.87873,short,-0.5,-0.5,1.876464503,1.334030711,1.413565915,2.08296049,1.682157461,1.428580056,4.527784861,E,M,K,V,0,0,0,0,0,1.285195298,1.820197529,0,0,0,4,3,3
